,Field Position,Result
0,80.0,Touchdown
1,75.0,Touchdown
2,80.0,Punt
3,80.0,Field Goal
4,73.0,Field Goal
5,80.0,Punt
6,87.0,Punt
7,60.0,Field Goal
8,74.0,Field Goal
9,75.0,Missed FG
10,60.0,Punt
11,80.0,Touchdown
12,79.0,Touchdown
13,78.0,Field Goal
14,80.0,Touchdown
0,69.0,Interception
1,31.0,Touchdown
2,76.0,Punt
3,86.0,Field Goal
4,76.0,Punt
5,97.0,Field Goal
6,69.0,Punt
7,80.0,Touchdown
8,74.0,End of Half
9,80.0,Punt
10,70.0,Interception
11,53.0,Touchdown
12,78.0,Field Goal
13,70.0,Fumble
14,89.0,Punt
15,78.0,Punt
16,53.0,Interception
17,72.0,Touchdown
18,71.0,Interception
19,47.0,Punt
20,90.0,Punt
21,52.0,Punt
0,49.0,Punt
1,80.0,Field Goal
2,78.0,Punt
3,64.0,Touchdown
4,78.0,Punt
5,61.0,Field Goal
6,90.0,Punt
7,86.0,Downs
8,65.0,Field Goal
9,71.0,Interception
10,40.0,Missed FG
11,58.0,Punt
12,75.0,Touchdown
13,69.0,Missed FG
14,58.0,Punt
15,85.0,Touchdown
16,73.0,Punt
17,71.0,Touchdown
0,85.0,Punt
1,76.0,Downs
2,99.0,Touchdown
3,75.0,Punt
4,94.0,Field Goal
5,77.0,Punt
6,94.0,Field Goal
7,73.0,Touchdown
8,75.0,Punt
9,88.0,Interception
10,46.0,Punt
11,91.0,Punt
12,72.0,Punt
13,85.0,Punt
14,85.0,Punt
15,51.0,Punt
16,85.0,Touchdown
17,72.0,Touchdown
18,80.0,Punt
0,79.0,Interception
1,92.0,Field Goal
2,79.0,Punt
3,89.0,Punt
4,44.0,Touchdown
5,69.0,Touchdown
6,74.0,Punt
7,80.0,Punt
8,49.0,Touchdown
9,76.0,Touchdown
10,66.0,Touchdown
11,62.0,End of Half
12,83.0,Touchdown
13,82.0,Field Goal
14,87.0,Touchdown
15,81.0,Punt
16,73.0,Punt
17,89.0,Punt
18,60.0,Fumble
19,49.0,Fumble
0,77.0,Punt
1,59.0,Punt
2,78.0,Punt
3,88.0,Touchdown
4,86.0,Punt
5,75.0,Punt
6,92.0,Punt
7,34.0,Field Goal
8,57.0,Touchdown
9,70.0,Punt
10,62.0,Interception
11,73.0,Field Goal
12,70.0,Punt
13,80.0,Blocked FG
14,71.0,Punt
15,84.0,Punt
16,60.0,Interception
17,61.0,Field Goal
18,,
19,80.0,Punt
20,93.0,Punt
21,80.0,Touchdown
22,78.0,Punt
23,73.0,Punt
24,72.0,Downs
25,53.0,Punt
26,80.0,Touchdown
0,80.0,Field Goal
1,84.0,Field Goal
2,76.0,Punt
3,51.0,Touchdown
4,59.0,Touchdown
5,77.0,Punt
6,73.0,Fumble
7,73.0,Field Goal
8,74.0,End of Half
9,83.0,Field Goal
10,69.0,Punt
11,85.0,Field Goal
12,80.0,Punt
13,67.0,Punt
14,74.0,Punt
15,72.0,Touchdown
16,75.0,Punt
0,74.0,Punt
1,76.0,Punt
2,48.0,Touchdown
3,68.0,Punt
4,73.0,Touchdown
5,80.0,Punt
6,70.0,Downs
7,56.0,Touchdown
8,64.0,Touchdown
9,73.0,Punt
10,75.0,Field Goal
11,74.0,Punt
12,74.0,Punt
13,70.0,Field Goal
14,80.0,Fumble
15,53.0,Punt
16,85.0,Punt
17,81.0,Punt
18,85.0,Punt
19,72.0,Touchdown
20,80.0,Punt
21,84.0,Fumble
22,20.0,Touchdown
0,61.0,Blocked FG
1,57.0,Field Goal
2,81.0,Fumble
3,15.0,Field Goal
4,89.0,Fumble
5,12.0,Field Goal
6,77.0,Punt
7,80.0,Touchdown
8,78.0,Touchdown
9,89.0,Touchdown
10,84.0,Touchdown
11,59.0,End of Half
12,71.0,Punt
13,81.0,Field Goal
14,80.0,Punt
15,60.0,Punt
16,98.0,Punt
17,83.0,Punt
18,84.0,Touchdown
19,73.0,Punt
20,94.0,Punt
21,85.0,Interception
22,26.0,Touchdown
23,75.0,Downs
0,80.0,Touchdown
1,70.0,Punt
2,77.0,Punt
3,59.0,Interception
4,66.0,Touchdown
5,80.0,Punt
6,67.0,Punt
7,81.0,Punt
8,57.0,Punt
9,83.0,Punt
10,63.0,Missed FG
11,80.0,End of Half
12,74.0,Punt
13,72.0,Field Goal
14,74.0,Punt
15,72.0,Touchdown
16,78.0,Punt
17,58.0,Punt
18,76.0,Downs
0,82.0,Touchdown
1,84.0,Punt
2,75.0,Downs
3,72.0,Touchdown
4,59.0,Fumble
5,62.0,Punt
6,80.0,Punt
7,32.0,Field Goal
8,75.0,Punt
9,73.0,Punt
10,76.0,Punt
11,80.0,End of Half
12,76.0,Punt
13,97.0,Punt
14,97.0,Interception
15,77.0,Punt
16,87.0,Punt
17,62.0,Punt
18,79.0,Punt
19,66.0,Touchdown
20,81.0,Punt
21,66.0,Field Goal
22,73.0,Downs
23,25.0,Touchdown
24,80.0,Punt
0,40.0,Missed FG
1,57.0,Touchdown
2,79.0,Interception
3,85.0,Field Goal
4,80.0,Punt
5,47.0,Field Goal
6,72.0,Punt
7,75.0,Punt
8,66.0,Touchdown
9,55.0,Missed FG
10,67.0,End of Half
11,71.0,Fumble
12,42.0,Touchdown
13,74.0,Missed FG
14,76.0,Punt
15,94.0,Interception
16,14.0,Field Goal
17,80.0,Field Goal
18,80.0,Punt
19,82.0,Punt
20,71.0,Fumble
21,39.0,Field Goal
22,71.0,Touchdown
23,80.0,Downs
0,73.0,Touchdown
1,,
2,19.0,Touchdown
3,74.0,Punt
4,70.0,Punt
5,78.0,Punt
6,55.0,Fumble
7,55.0,Touchdown
8,74.0,Punt
9,70.0,Downs
10,66.0,Punt
11,74.0,Interception
12,45.0,Punt
13,80.0,Field Goal
14,49.0,End of Half
15,60.0,Touchdown
16,78.0,Punt
17,53.0,Punt
18,80.0,Punt
19,23.0,Touchdown
20,76.0,Punt
21,57.0,Punt
22,87.0,Punt
23,60.0,Field Goal
24,77.0,Punt
25,80.0,Punt
26,69.0,Punt
27,39.0,Interception
28,61.0,Interception
29,57.0,Punt
30,66.0,Downs
0,80.0,Punt
1,69.0,Downs
2,99.0,Interception
3,23.0,Touchdown
4,80.0,Interception
5,34.0,Field Goal
6,86.0,Field Goal
7,79.0,Field Goal
8,84.0,End of Half
9,80.0,Touchdown
10,70.0,Punt
11,94.0,Fumble
12,16.0,Fumble
13,94.0,Field Goal
14,80.0,Punt
15,49.0,Punt
16,80.0,Punt
17,56.0,Punt
18,76.0,Downs
0,70.0,Punt
1,95.0,Fumble
2,80.0,Field Goal
3,80.0,Punt
4,73.0,Fumble
5,17.0,Field Goal
6,70.0,Missed FG
7,74.0,Punt
8,92.0,Punt
9,49.0,Field Goal
10,75.0,Touchdown
11,71.0,Punt
12,68.0,Field Goal
13,79.0,Punt
14,49.0,Field Goal
15,80.0,Interception
16,76.0,Touchdown
17,36.0,Downs
0,80.0,Punt
1,56.0,Punt
2,90.0,Punt
3,66.0,Punt
4,90.0,Punt
5,68.0,Field Goal
6,64.0,Interception
7,57.0,Fumble
8,95.0,Touchdown
9,80.0,Punt
10,57.0,Touchdown
11,79.0,Punt
12,68.0,Touchdown
13,80.0,Interception
14,80.0,End of Half
15,73.0,Touchdown
16,80.0,Missed FG
17,78.0,Punt
18,80.0,Touchdown
19,83.0,Interception
20,41.0,Field Goal
21,86.0,Punt
22,91.0,Punt
23,53.0,Downs
24,50.0,Downs
0,80.0,Missed FG
1,70.0,Punt
2,93.0,Punt
3,83.0,Punt
4,89.0,Punt
5,83.0,Interception
6,84.0,Punt
7,90.0,Touchdown
8,74.0,Punt
9,90.0,End of Half
10,80.0,Punt
11,54.0,Field Goal
12,80.0,Punt
13,58.0,Touchdown
14,84.0,Punt
15,74.0,Field Goal
16,80.0,Punt
17,80.0,Punt
18,90.0,Interception
19,80.0,Fumble
0,73.0,Touchdown
1,73.0,Touchdown
2,72.0,Touchdown
3,60.0,Punt
4,94.0,Punt
5,35.0,Touchdown
6,78.0,Interception
7,8.0,Touchdown
8,88.0,Punt
9,61.0,Punt
10,98.0,Touchdown
11,60.0,End of Half
12,,
13,77.0,Punt
14,38.0,Field Goal
15,80.0,Punt
16,52.0,Punt
17,83.0,Fumble
18,19.0,Field Goal
19,89.0,Punt
20,52.0,Punt
21,81.0,Field Goal
22,47.0,Touchdown
23,76.0,Downs
24,48.0,Touchdown
0,88.0,Missed FG
1,80.0,Punt
2,62.0,Touchdown
3,34.0,Fumble
4,84.0,Punt
5,87.0,Punt
6,69.0,Punt
7,90.0,Interception
8,57.0,Punt
9,86.0,Punt
10,38.0,Touchdown
11,70.0,Punt
12,66.0,End of Half
13,75.0,Interception
14,68.0,Punt
15,77.0,Touchdown
16,,
17,18.0,Field Goal
18,90.0,Punt
19,60.0,Punt
20,80.0,Punt
21,14.0,Field Goal
22,70.0,Touchdown
23,67.0,Punt
24,92.0,End of Half
25,85.0,Punt
26,83.0,Punt
27,76.0,Punt
28,84.0,Punt
29,75.0,Punt
30,69.0,Punt
0,63.0,Punt
1,86.0,Punt
2,69.0,Field Goal
3,86.0,Punt
4,56.0,Fumble
5,43.0,Field Goal
6,69.0,Field Goal
7,79.0,Punt
8,67.0,Touchdown
9,72.0,Punt
10,61.0,Touchdown
11,79.0,Field Goal
12,71.0,Interception
13,90.0,End of Half
14,66.0,Punt
15,74.0,Punt
16,65.0,Fumble
17,39.0,Punt
18,99.0,Safety
19,,
20,78.0,Punt
21,86.0,Punt
22,75.0,Punt
23,84.0,Punt
24,53.0,Downs
25,65.0,Punt
26,78.0,Fumble
27,20.0,Missed FG
28,77.0,Punt
29,81.0,Punt
0,77.0,Punt
1,80.0,Touchdown
2,64.0,Punt
3,80.0,Punt
4,62.0,Punt
5,90.0,Touchdown
6,78.0,Field Goal
7,78.0,Touchdown
8,61.0,End of Half
9,80.0,Touchdown
10,80.0,Punt
11,67.0,Interception
12,62.0,Fumble
13,66.0,Punt
14,75.0,Punt
15,48.0,Field Goal
16,80.0,Fumble
17,5.0,Field Goal
18,70.0,Touchdown
19,54.0,Touchdown
0,80.0,Punt
1,64.0,Field Goal
2,80.0,Punt
3,35.0,Touchdown
4,80.0,Punt
5,74.0,Punt
6,89.0,Field Goal
7,46.0,Touchdown
8,78.0,Punt
9,76.0,Field Goal
10,79.0,Fumble
11,41.0,Touchdown
12,80.0,Interception
13,26.0,Missed FG
14,66.0,Field Goal
15,83.0,Interception
16,89.0,Punt
17,80.0,Touchdown
18,80.0,Fumble
19,88.0,Punt
20,45.0,Punt
21,77.0,Touchdown
22,40.0,Touchdown
23,80.0,Downs
0,,
1,16.0,Touchdown
2,79.0,Punt
3,77.0,Fumble
4,36.0,Field Goal
5,80.0,Interception
6,80.0,Punt
7,71.0,Touchdown
8,70.0,Punt
9,77.0,Punt
10,90.0,Punt
11,63.0,Punt
12,91.0,Punt
13,87.0,Field Goal
14,42.0,Field Goal
15,76.0,Punt
16,85.0,Missed FG
17,71.0,Punt
18,66.0,Touchdown
19,48.0,Touchdown
20,80.0,Punt
21,59.0,Touchdown
22,44.0,Punt
23,80.0,Downs
24,25.0,Downs
0,,
1,12.0,Field Goal
2,81.0,Touchdown
3,76.0,Touchdown
4,76.0,Punt
5,91.0,Punt
6,80.0,Punt
7,63.0,Touchdown
8,80.0,Interception
9,91.0,End of Half
10,80.0,Punt
11,84.0,Punt
12,86.0,Fumble
13,79.0,Touchdown
14,80.0,Touchdown
15,74.0,Field Goal
16,64.0,Downs
17,45.0,Punt
18,80.0,Downs
0,80.0,Fumble
1,10.0,Touchdown
2,76.0,Punt
3,69.0,Punt
4,95.0,Punt
5,40.0,Missed FG
6,60.0,Interception
7,54.0,Punt
8,76.0,Interception
9,57.0,Missed FG
10,61.0,Punt
11,79.0,Field Goal
12,60.0,Interception
13,41.0,Field Goal
14,87.0,Punt
15,69.0,Touchdown
16,80.0,Punt
17,59.0,Touchdown
18,80.0,Punt
19,66.0,Interception
20,52.0,Field Goal
21,70.0,Punt
22,81.0,Fumble
0,74.0,Punt
1,74.0,Punt
2,46.0,Missed FG
3,61.0,Punt
4,89.0,Punt
5,80.0,Field Goal
6,82.0,Interception
7,54.0,Field Goal
8,66.0,Touchdown
9,65.0,Punt
10,80.0,Punt
11,73.0,End of Half
12,65.0,Touchdown
13,61.0,Interception
14,27.0,Touchdown
15,80.0,Touchdown
16,40.0,Punt
17,92.0,Punt
18,54.0,Punt
19,78.0,Punt
20,58.0,Touchdown
21,58.0,Interception
0,76.0,Field Goal
1,80.0,Punt
2,96.0,Punt
3,49.0,Interception
4,80.0,Punt
5,65.0,Downs
6,98.0,Fumble
7,80.0,Field Goal
8,80.0,Punt
9,75.0,End of Half
10,86.0,Punt
11,86.0,Punt
12,57.0,Punt
13,80.0,Fumble
14,34.0,Touchdown
15,80.0,Downs
16,72.0,Punt
17,66.0,Punt
18,90.0,Punt
19,74.0,Touchdown
20,80.0,Interception
21,68.0,Punt
22,81.0,Interception
0,81.0,Punt
1,93.0,Punt
2,69.0,Field Goal
3,70.0,Punt
4,61.0,Touchdown
5,80.0,Punt
